154;Santos;1;0;Atlético-GO
155;Internacional;1;0;América-MG
156;Fortaleza;0;0;Palmeiras
157;Goiás;2;1;Athletico-PR
158;Cuiabá;2;0;Botafogo
159;Coritiba;2;2;Juventude
160;América-MG;0;3;Bragantino
161;Flamengo;2;0;Coritiba
162;São Paulo;2;2;Fluminense
163;Palmeiras;1;0;Cuiabá
164;Botafogo;0;1;Atlético-MG
165;Juventude;0;0;Goiás
166;Ceará;3;1;Corinthians
167;Atlético-GO;0;1;Fortaleza
168;Avaí;1;0;Santos
169;Athletico-PR;0;0;Internacional
170;América-MG;0;1;Palmeiras
171;Flamengo;4;0;Juventude
172;Bragantino;2;1;Fortaleza
173;Corinthians;3;1;Coritiba
174;Santos;2;0;Botafogo
175;Internacional;3;3;São Paulo
176;Ceará;1;0;Avaí
177;Goiás;2;3;Fluminense
178;Cuiabá;1;1;Atlético-MG
179;Athletico-PR;4;1;Atlético-GO
180;Atlético-MG;1;2;Corinthians
181;Fluminense;2;1;Bragantino
182;São Paulo;3;3;Goiás
183;Palmeiras;2;1;Internacional
184;Botafogo;2;0;Athletico-PR
185;Juventude;1;0;Ceará
186;Fortaleza;0;0;Santos
187;Atlético-GO;0;1;América-MG
188;Avaí;1;2;Flamengo
189;Coritiba;1;0;Cuiabá
190;América-MG;3;1;Avaí
191;Flamengo;4;1;Atlético-GO
192;Bragantino;1;0;Juventude
193;Corinthians;1;0;Botafogo
194;Santos;2;2;Fluminense
195;Internacional;3;0;Atlético-MG
196;Ceará;1;2;Palmeiras
197;Goiás;1;0;Coritiba
198;Cuiabá;0;1;Fortaleza
199;Athletico-PR;1;0;São Paulo
200;Atlético-MG;2;3;Athletico-PR
201;Fluminense;1;0;Cuiabá
202;São Paulo;0;1;Flamengo
203;Palmeiras;3;0;Goiás
204;Botafogo;1;1;Ceará
205;Juventude;0;1;América-MG
206;Fortaleza;3;0;Internacional
207;Atlético-GO;2;1;Bragantino
208;Avaí;1;1;Corinthians
209;Coritiba;1;2;Santos
210;América-MG;;;Santos
211;Flamengo;;;Athletico-PR
212;São Paulo;;;Bragantino
213;Corinthians;;;Palmeiras
214;Botafogo;;;Atlético-GO
215;Internacional;;;Fluminense
216;Ceará;;;Fortaleza
217;Goiás;;;Avaí
218;Cuiabá;;;Juventude
219;Coritiba;;;Atlético-MG
220;Atlético-MG;;;Goiás
221;Fluminense;;;Coritiba
222;Bragantino;;;Ceará
223;Palmeiras;;;Flamengo
224;Santos;;;São Paulo
225;Juventude;;;Botafogo
226;Fortaleza;;;Corinthians
227;Atlético-GO;;;Cuiabá
228;Avaí;;;Internacional
229;Athletico-PR;;;América-MG
230;América-MG;;;Atlético-MG
231;Fluminense;;;Palmeiras
232;São Paulo;;;Fortaleza
233;Corinthians;;;Bragantino
234;Botafogo;;;Flamengo
235;Internacional;;;Juventude
236;Ceará;;;Athletico-PR
237;Goiás;;;Atlético-GO
238;Cuiabá;;;Santos
239;Coritiba;;;Avaí
240;América-MG;;;Coritiba
241;Flamengo;;;Ceará
242;Bragantino;;;Palmeiras
243;Corinthians;;;Internacional
244;Santos;;;Goiás
245;Juventude;;;Avaí
246;Fortaleza;;;Botafogo
247;Atlético-GO;;;Atlético-MG
248;Cuiabá;;;São Paulo
249;Athletico-PR;;;Fluminense
250;Atlético-MG;;;Bragantino
251;Fluminense;;;Fortaleza
252;São Paulo;;;Corinthians
253;Palmeiras;;;Juventude
254;Botafogo;;;América-MG
255;Internacional;;;Cuiabá
256;Ceará;;;Santos
257;Goiás;;;Flamengo
258;Avaí;;;Athletico-PR
259;Coritiba;;;Atlético-GO
260;América-MG;;;Corinthians
261;Flamengo;;;Fluminense
262;Bragantino;;;Goiás
263;Palmeiras;;;Santos
264;Botafogo;;;Coritiba
265;Juventude;;;Fortaleza
266;Ceará;;;São Paulo
267;Atlético-GO;;;Internacional
268;Avaí;;;Atlético-MG
269;Athletico-PR;;;Cuiabá
270;Atlético-MG;;;Palmeiras
271;Fluminense;;;Juventude
272;São Paulo;;;Avaí
273;Corinthians;;;Atlético-GO
274;Santos;;;Athletico-PR
275;Internacional;;;Bragantino
276;Fortaleza;;;Flamengo
277;Goiás;;;Botafogo
278;Cuiabá;;;América-MG
279;Coritiba;;;Ceará
280;Atlético-MG;;;Fluminense
281;Flamengo;;;Bragantino
282;São Paulo;;;Coritiba
283;Corinthians;;;Cuiabá
284;Botafogo;;;Palmeiras
285;Internacional;;;Santos
