58;Avai;1;2;Juventude;R;96;64;65;1000;1000;1000;1000;1000;1000;1000
59;Coritiba;1;0;America-MG;R;104;1000;1000;1000;1000;1000;1000;1000;1000;1000
60;America-MG;1;1;Botafogo;R;206;51;1000;1000;1000;1000;1000;1000;1000;1000
61;Flamengo;1;0;Goias;R;195;1000;1000;1000;1000;1000;1000;1000;1000;1000
62;Bragantino;1;1;Atletico-MG;R;173;6;1000;1000;1000;1000;1000;1000;1000;1000
63;Corinthians;1;1;Sao Paulo;R;161;30;1000;1000;1000;1000;1000;1000;1000;1000
64;Santos;0;0;Ceara;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
65;Juventude;0;3;Palmeiras;R;40;41;42;1000;1000;1000;1000;1000;1000;1000
66;Fortaleza;0;1;Fluminense;R;20;1000;1000;1000;1000;1000;1000;1000;1000;1000
67;Atletico-GO;2;0;Coritiba;R;9;10;1000;1000;1000;1000;1000;1000;1000;1000
68;Cuiaba;1;1;Internacional;R;184;116;1000;1000;1000;1000;1000;1000;1000;1000
69;Athletico-PR;2;1;Avai;R;139;140;93;1000;1000;1000;1000;1000;1000;1000
70;Atletico-MG;2;1;Avai;R;5;6;94;1000;1000;1000;1000;1000;1000;1000
71;Fluminense;1;2;Flamengo;R;19;194;195;1000;1000;1000;1000;1000;1000;1000
72;Sao Paulo;2;2;Ceara;R;30;31;151;152;1000;1000;1000;1000;1000;1000
73;Corinthians;1;1;America-MG;R;159;206;1000;1000;1000;1000;1000;1000;1000;1000
74;Santos;0;1;Palmeiras;R;43;1000;1000;1000;1000;1000;1000;1000;1000;1000
75;Internacional;1;1;Atletico-GO;R;115;82;1000;1000;1000;1000;1000;1000;1000;1000
76;Fortaleza;1;1;Juventude;R;73;62;1000;1000;1000;1000;1000;1000;1000;1000
77;Goias;1;1;Bragantino;R;214;170;1000;1000;1000;1000;1000;1000;1000;1000
78;Cuiaba;0;1;Athletico-PR;R;137;1000;1000;1000;1000;1000;1000;1000;1000;1000
79;Coritiba;1;0;Botafogo;R;105;1000;1000;1000;1000;1000;1000;1000;1000;1000
80;America-MG;2;1;Cuiaba;R;203;204;181;1000;1000;1000;1000;1000;1000;1000
81;Flamengo;1;2;Fortaleza;R;195;72;73;1000;1000;1000;1000;1000;1000;1000
82;Bragantino;0;2;Internacional;R;119;120;1000;1000;1000;1000;1000;1000;1000;1000
83;Palmeiras;0;0;Atletico-MG;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
84;Botafogo;1;2;Goias;R;52;213;213;1000;1000;1000;1000;1000;1000;1000
85;Juventude;1;0;Fluminense;R;60;1000;1000;1000;1000;1000;1000;1000;1000;1000
86;Ceara;1;1;Coritiba;R;148;105;1000;1000;1000;1000;1000;1000;1000;1000
87;Atletico-GO;0;1;Corinthians;R;162;1000;1000;1000;1000;1000;1000;1000;1000;1000
88;Avai;1;1;Sao Paulo;R;93;31;1000;1000;1000;1000;1000;1000;1000;1000
89;Athletico-PR;2;2;Santos;R;139;140;127;128;1000;1000;1000;1000;1000;1000
90;America-MG;0;2;Ceara;R;150;151;1000;1000;1000;1000;1000;1000;1000;1000
91;Fluminense;5;3;Atletico-MG;R;15;16;17;18;19;5;6;7;1000;1000
92;Bragantino;1;0;Flamengo;R;172;1000;1000;1000;1000;1000;1000;1000;1000;1000
93;Palmeiras;4;0;Botafogo;R;38;39;40;41;1000;1000;1000;1000;1000;1000
94;Santos;1;1;Internacional;R;128;115;1000;1000;1000;1000;1000;1000;1000;1000
95;Juventude;1;3;Athletico-PR;R;60;138;139;140;1000;1000;1000;1000;1000;1000
96;Fortaleza;1;1;Goias;R;74;219;1000;1000;1000;1000;1000;1000;1000;1000
97;Atletico-GO;2;1;Avai;R;84;85;96;1000;1000;1000;1000;1000;1000;1000
98;Cuiaba;1;0;Corinthians;R;182;1000;1000;1000;1000;1000;1000;1000;1000;1000
99;Coritiba;1;1;Sao Paulo;R;104;29;1000;1000;1000;1000;1000;1000;1000;1000
100;Atletico-MG;1;1;Santos;R;9;128;1000;1000;1000;1000;1000;1000;1000;1000
101;Fluminense;0;2;Atletico-GO;R;82;83;1000;1000;1000;1000;1000;1000;1000;1000
102;Sao Paulo;1;0;America-MG;R;30;1000;1000;1000;1000;1000;1000;1000;1000;1000
103;Corinthians;2;0;Juventude;R;162;163;1000;1000;1000;1000;1000;1000;1000;1000
104;Botafogo;0;1;Avai;R;96;1000;1000;1000;1000;1000;1000;1000;1000;1000
105;Internacional;3;1;Flamengo;R;116;117;118;196;1000;1000;1000;1000;1000;1000
106;Fortaleza;0;0;Athletico-PR;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
107;Goias;1;1;Ceara;R;218;150;1000;1000;1000;1000;1000;1000;1000;1000
108;Cuiaba;1;1;Bragantino;R;186;173;1000;1000;1000;1000;1000;1000;1000;1000
109;Coritiba;0;2;Palmeiras;R;39;40;1000;1000;1000;1000;1000;1000;1000;1000
110;America-MG;0;0;Fluminense;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
111;Flamengo;2;0;Cuiaba;R;194;195;1000;1000;1000;1000;1000;1000;1000;1000
112;Bragantino;4;2;Coritiba;R;170;171;172;173;106;107;1000;1000;1000;1000
113;Palmeiras;4;2;Atletico-GO;R;38;39;40;41;83;84;1000;1000;1000;1000
114;Botafogo;1;0;Sao Paulo;R;52;1000;1000;1000;1000;1000;1000;1000;1000;1000
115;Juventude;1;2;Santos;R;63;127;128;1000;1000;1000;1000;1000;1000;1000
116;Ceara;0;0;Atletico-MG;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
117;Goias;1;2;Internacional;R;218;116;115;1000;1000;1000;1000;1000;1000;1000
118;Avai;3;2;Fortaleza;R;95;96;97;71;72;1000;1000;1000;1000;1000
119;Athletico-PR;1;1;Corinthians;R;137;163;1000;1000;1000;1000;1000;1000;1000;1000
120;Atletico-MG;2;0;Flamengo;R;8;9;1000;1000;1000;1000;1000;1000;1000;1000
121;Fluminense;2;0;Avai;R;17;18;1000;1000;1000;1000;1000;1000;1000;1000
122;Sao Paulo;1;2;Palmeiras;R;30;39;40;1000;1000;1000;1000;1000;1000;1000
123;Corinthians;1;0;Goias;R;161;1000;1000;1000;1000;1000;1000;1000;1000;1000
124;Santos;2;2;Bragantino;R;127;128;172;173;1000;1000;1000;1000;1000;1000
125;Internacional;2;3;Botafogo;R;118;119;50;51;52;1000;1000;1000;1000;1000
126;Fortaleza;1;0;America-MG;R;73;1000;1000;1000;1000;1000;1000;1000;1000;1000
127;Atletico-GO;3;1;Juventude;R;84;85;86;63;1000;1000;1000;1000;1000;1000
128;Cuiaba;0;0;Ceara;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
129;Coritiba;0;1;Athletico-PR;R;140;1000;1000;1000;1000;1000;1000;1000;1000;1000
130;Atletico-MG;3;2;Fortaleza;R;5;6;7;70;71;1000;1000;1000;1000;1000
131;Flamengo;3;0;America-MG;R;195;196;197;1000;1000;1000;1000;1000;1000;1000
132;Sao Paulo;0;0;Juventude;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
133;Corinthians;0;0;Santos;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
134;Botafogo;0;1;Fluminense;R;18;1000;1000;1000;1000;1000;1000;1000;1000;1000
135;Internacional;3;0;Coritiba;R;115;116;117;1000;1000;1000;1000;1000;1000;1000
136;Ceara;1;1;Atletico-GO;R;150;84;1000;1000;1000;1000;1000;1000;1000;1000
137;Goias;1;0;Cuiaba;R;217;1000;1000;1000;1000;1000;1000;1000;1000;1000
138;Avai;2;2;Palmeiras;R;93;94;41;42;1000;1000;1000;1000;1000;1000
139;Athletico-PR;4;2;Bragantino;R;137;138;139;140;173;174;1000;1000;1000;1000
140;America-MG;1;0;Goias;R;204;1000;1000;1000;1000;1000;1000;1000;1000;1000
141;Fluminense;4;0;Corinthians;R;16;17;18;19;20;1000;1000;1000;1000;1000
142;Bragantino;0;1;Botafogo;R;49;1000;1000;1000;1000;1000;1000;1000;1000;1000
143;Palmeiras;0;2;Athletico-PR;R;140;141;1000;1000;1000;1000;1000;1000;1000;1000
144;Santos;1;2;Flamengo;R;127;196;197;1000;1000;1000;1000;1000;1000;1000
145;Juventude;1;2;Atletico-MG;R;63;7;8;1000;1000;1000;1000;1000;1000;1000
146;Ceara;1;1;Internacional;R;151;118;1000;1000;1000;1000;1000;1000;1000;1000
147;Atletico-GO;1;2;Sao Paulo;R;86;26;26;1000;1000;1000;1000;1000;1000;1000
148;Avai;1;2;Cuiaba;R;98;186;186;1000;1000;1000;1000;1000;1000;1000
149;Coritiba;2;1;Fortaleza;R;105;105;76;1000;1000;1000;1000;1000;1000;1000
150;Atletico-MG;0;0;Sao Paulo;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
151;Fluminense;2;1;Ceara;R;18;19;148;1000;1000;1000;1000;1000;1000;1000
152;Bragantino;4;0;Avai;R;170;171;172;173;1000;1000;1000;1000;1000;1000
153;Corinthians;1;0;Flamengo;R;164;1000;1000;1000;1000;1000;1000;1000;1000;1000
154;Santos;1;0;Atletico-GO;R;129;1000;1000;1000;1000;1000;1000;1000;1000;1000
155;Internacional;1;0;America-MG;R;120;1000;1000;1000;1000;1000;1000;1000;1000;1000
156;Fortaleza;0;0;Palmeiras;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
157;Goias;2;1;Athletico-PR;R;218;219;140;1000;1000;1000;1000;1000;1000;1000
158;Cuiaba;2;0;Botafogo;R;184;185;1000;1000;1000;1000;1000;1000;1000;1000
159;Coritiba;2;2;Juventude;R;109;109;63;64;1000;1000;1000;1000;1000;1000
160;America-MG;0;3;Bragantino;R;172;173;174;1000;1000;1000;1000;1000;1000;1000
161;Flamengo;2;0;Coritiba;R;195;196;1000;1000;1000;1000;1000;1000;1000;1000
162;Sao Paulo;2;2;Fluminense;R;28;29;20;21;1000;1000;1000;1000;1000;1000
163;Palmeiras;1;0;Cuiaba;R;38;1000;1000;1000;1000;1000;1000;1000;1000;1000
164;Botafogo;0;1;Atletico-MG;R;9;1000;1000;1000;1000;1000;1000;1000;1000;1000
165;Juventude;0;0;Goias;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
166;Ceara;3;1;Corinthians;R;150;151;152;160;1000;1000;1000;1000;1000;1000
167;Atletico-GO;0;1;Fortaleza;R;75;1000;1000;1000;1000;1000;1000;1000;1000;1000
168;Avai;1;0;Santos;R;95;1000;1000;1000;1000;1000;1000;1000;1000;1000
169;Athletico-PR;0;0;Internacional;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
170;America-MG;0;1;Palmeiras;R;43;1000;1000;1000;1000;1000;1000;1000;1000;1000
171;Flamengo;4;0;Juventude;R;193;194;195;196;1000;1000;1000;1000;1000;1000
172;Bragantino;2;1;Fortaleza;R;171;172;71;1000;1000;1000;1000;1000;1000;1000
173;Corinthians;3;1;Coritiba;R;159;160;161;108;1000;1000;1000;1000;1000;1000
174;Santos;2;0;Botafogo;R;129;130;1000;1000;1000;1000;1000;1000;1000;1000
175;Internacional;3;3;Sao Paulo;R;118;119;120;29;30;31;1000;1000;1000;1000
176;Ceara;1;0;Avai;R;153;1000;1000;1000;1000;1000;1000;1000;1000;1000
177;Goias;2;3;Fluminense;R;216;217;16;17;18;1000;1000;1000;1000;1000
178;Cuiaba;1;1;Atletico-MG;R;181;7;1000;1000;1000;1000;1000;1000;1000;1000
179;Athletico-PR;4;1;Atletico-GO;R;137;138;139;140;87;1000;1000;1000;1000;1000
180;Atletico-MG;1;2;Corinthians;R;10;163;164;1000;1000;1000;1000;1000;1000;1000
181;Fluminense;2;1;Bragantino;R;16;17;174;1000;1000;1000;1000;1000;1000;1000
182;Sao Paulo;3;3;Goias;R;29;30;31;214;215;216;1000;1000;1000;1000
183;Palmeiras;2;1;Internacional;R;40;41;119;1000;1000;1000;1000;1000;1000;1000
184;Botafogo;2;0;Athletico-PR;R;50;51;1000;1000;1000;1000;1000;1000;1000;1000
185;Juventude;1;0;Ceara;R;63;1000;1000;1000;1000;1000;1000;1000;1000;1000
186;Fortaleza;0;0;Santos;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
187;Atletico-GO;0;1;America-MG;R;207;1000;1000;1000;1000;1000;1000;1000;1000;1000
188;Avai;1;2;Flamengo;R;97;193;194;1000;1000;1000;1000;1000;1000;1000
189;Coritiba;1;0;Cuiaba;R;104;1000;1000;1000;1000;1000;1000;1000;1000;1000
190;America-MG;3;1;Avai;R;203;204;205;98;1000;1000;1000;1000;1000;1000
191;Flamengo;4;1;Atletico-GO;R;193;194;195;196;86;1000;1000;1000;1000;1000
192;Bragantino;1;0;Juventude;R;174;1000;1000;1000;1000;1000;1000;1000;1000;1000
193;Corinthians;1;0;Botafogo;R;159;1000;1000;1000;1000;1000;1000;1000;1000;1000
194;Santos;2;2;Fluminense;R;130;131;16;17;1000;1000;1000;1000;1000;1000
